Nov/2019,0.51,3.1202,3.2748,1355.5083
Out/2019,0.1,2.5969,2535,1348.6303
Set/2019,-0.04,2.4944,2.8935,1347283
Ago/2019,0.11,2.5354,3.4288,1347.8221
Jul/2019,0.19,2.4228,3.2222,1346.3411
Jun/2019,0.01,2.2285,3.3664,1343.7879
Mai/2019,0.13,2.2183,4.6584,1343.6536
Abr/2019,0.57,2.0856,4.9406,1341.9091
Mar/2019,0.75,1507,4.5754,1334.3036
Fev/2019,0.43,0.7514,3.8903,1324.3708
Jan/2019,0.32,0.32,3.7765,1318.7004
Dez/2018,0.15,3.7455,3.7455,1314494
Nov/2018,-0.21,3.5901,4.0459,1312.5252
Out/2018,0.45,3.8081,4.5568,1315.2873
Set/2018,0.48,3.3431,4.5256,1309.3951
Ago/2018,-0.09,2.8494,4.1927,1303.14
Jul/2018,0.33,2942,4.4847,1304.3139
Jun/2018,1.26,2.6034,4391,1300.0238
Mai/2018,0.4,1.3267,2.8549,1283.8473
Abr/2018,0.22,923,2.7627,1278.7324
Mar/2018,0.09,0.7015,2.6807,1275.9254
Fev/2018,0.32,0.6109,2.8448,1274.7781
Jan/2018,0.29,0.29,2855,1270.7118
Dez/2017,0.44,2.9473,2.9473,1267.0374
Nov/2017,0.28,2.4964,2.8039,1261.4869
Out/2017,0.42,2.2102,2.7013,1257.9646
Set/2017,0.16,1.7827,2.5377,1252.7032
Ago/2017,0.19,1.6201,2.4558,1250.7021
Jul/2017,0.24,1.4274,2.7115,1248.3303
Jun/2017,-0.23,1.1845,2.9984,1245.3415
Mai/2017,0.31,1.4178,3.5971,1248.2124
Abr/2017,0.14,1.1044,4.0825,1244.3549
Mar/2017,0.25,963,4571,1242.6152
Fev/2017,0.33,0.7113,4.7588,1239.5164
Jan/2017,0.38,0.38,5354,1235.4394
Dez/2016,0.3,6.2881,6.2881,1230.7625
Nov/2016,0.18,5.9701,6.9875,1227.0813
Out/2016,0.26,5.7797,7.8739,1224.8765
Set/2016,0.08,5.5054,8.4764,1221.7001
Ago/2016,0.44,5.4211,8975,1220.7235
Jul/2016,0.52,4.9593,8.7363,1215.3758
Jun/2016,0.35,4.4163,8.8445,1209.0886
Mai/2016,0.78,4.0521,9.3217,1204.8715
Abr/2016,0.61,3.2468,9.2783,1195.5462
Mar/2016,0.43,2.6208,9.3869,1188.2976
Fev/2016,0.9,2.1814,10.3563,1183.2098
Jan/2016,1.27,1.27,10.7063,1172.6559
Dez/2015,0.96,10.6735,10.6735,1157.95
Nov/2015,1.01,9.6211,10.4762,1146.9394
Out/2015,0.82,8525,9.9293,1135.4711
Set/2015,0.54,7.6424,9.4932,1126236
Ago/2015,0.22,7.0642,9.5259,1120187
Jul/2015,0.62,6.8292,9.5586,1117728
Jun/2015,0.79,6.1709,8.8944,1110.8408
Mai/2015,0.74,5.3388,8.4731,1102.1339
Abr/2015,0.71,4565,8.1716,1094038
Mar/2015,1.32,3.8278,8.1286,1086.3251
Fev/2015,1.22,2.4751,7.7018,1072.1724
Jan/2015,1.24,1.24,7.1378,1059.2496
Dez/2014,0.78,6.4076,6.4076,1046.2758
Nov/2014,0.51,5.5841,6.5554,1038178
Out/2014,0.42,5.0483,6.5872,1032.9101
Set/2014,0.57,4609,6.7465,1028.5901
Ago/2014,0.25,4.0161,6.5129,1022.7603
Jul/2014,0.01,3.7567,6.5023,1020.2098
Jun/2014,0.4,3.7463,6.5236,1020.1078
Mai/2014,0.46,3333,6.3751,1016.0436
Abr/2014,0.67,2.8598,6.2798,1011.3912
Mar/2014,0.92,2.1752,6.1531,1004.66
Fev/2014,0.69,1.2438,5.6798,995.5014
Jan/2014,0.55,0.55,5.5853,988.6795
Dez/2013,0.92,5.9108,5.9108,983.2715
Nov/2013,0.54,4.9453,5.7744,974.3079
Out/2013,0.57,4.3817,5.8375,969.0749
Set/2013,0.35,3.7901,5.8586,963.5824
Ago/2013,0.24,3.4281,6.0906,960.2217
Jul/2013,0.03,3.1804,6.2706,957.9227
Jun/2013,0.26,3.1495,6.6955,957.6354
Mai/2013,0.37,2882,6504,955152
Abr/2013,0.55,2.5027,6.4933,951.6309
